crn|class limits|cur enroll|xlist act 1|xlist act 2|xlist act 3
7002|46|32|||
7043|12|8|||
7044|12|12|||
7048|12|10|||
7049|12|8|||
7050|12|10|||
7053|25|16|||
7054|40|15|||
7061|25|19|||
7067|8|5|||
7073|12|1|||
7074|12|4|||
7075|12|9|||
7076|12|2|||
7081|12|0|||
7087|16|16|||
7119|999|13|||
7120|999|5|||
7121|999|33|||
7122|999|33|||
7123|999|10|||
7124|999|29|||
7125|999|33|||
7126|999|7|||
7127|999|11|||
7128|999|27|||
7129|999|20|||
7130|999|6|||
7131|999|28|||
7135|25|14|||
7139|25|16|||
7140|25|5|||
7142|24|24|||
7146|12|12|||
7147|12|11|||
7150|15|10|||
7152|15|10|||
7153|15|14|||
7154|15|6|||
7156|15|15|||
7157|20|20|||
7158|20|20|||
7159|20|20|||
7160|15|15|||
7164|15|7|||
7168|50|43|||
7178|40|35|||
7179|40|38|||
7180|18|9|||
7180|18|9|||
7182|20|6|||
7189|10|2|||
7191|15|3|||
7199|22|16|||
7203|22|13|||
7207|22|10|||
7210|20|11|||
7212|15|4|||
7219|12|5|||
7226|35|22|||
7229|35|33|||
7233|5|1|||
7236|5|0|||
7237|32|32|||
7238|5|0|||
7239|32|20|||
7241|32|32|||
7242|32|32|||
7243|5|2|||
7248|18|11|||
7249|18|8|||
7252|18|5|||
7253|18|9|||
7273|22|3|||
7285|35|34|||
7311|15|3|10||
7322|200|18|||
7324|100|47|||
7326|30|3|||
7330|25|7|||
7330|25|7|||
7346|40|0|||
7351|60|42|||
7352|20|16|||
7353|20|19|||
7355|60|52|||
7356|20|20|||
7357|20|19|||
7358|20|13|||
7363|30|15|||
7364|20|12|||
7366|14|11|||
7368|999|8|||
7369|15|0|||
7370|15|0|||
7371|15|0|||
7372|15|0|||
7373|15|0|||
7374|15|0|||
7375|15|0|||
7376|8|0|||
7377|8|3|||
7378|8|2|||
7380|8|4|||
7382|40|40|||
7383|16|11|||
7384|8|1|||
7385|15|10|||
7396|15|11|||
7398|15|0|||
7399|50|0|||
7410|15|0|||
7469|50|46|||
7472|40|35|||
7473|36|27|||
7483|12|10|||
7483|12|10|||
7486|24|8|||
7538|15|9|||
7539|15|0|||
7540|15|8|||
7542|15|5|||
7543|17|9|||
7544|22|9|||
7552|999|0|||
7553|999|0|||
7554|999|0|||
7555|999|0|||
7556|999|0|||
7557|999|0|||
7558|999|0|||
7559|999|0|||
7560|999|0|||
7561|999|0|||
7562|999|0|||
7563|999|0|||
7564|999|0|||
7565|999|0|||
7566|999|0|||
7567|999|0|||
7568|999|0|||
7569|999|0|||
7572|999|0|||
7573|999|0|||
7574|999|0|||
7575|999|0|||
7612|999|0|||
7613|999|0|||
7614|35|19|21||
7615|999|0|||
7616|999|0|||
7618|999|0|||
7619|999|0|||
7620|999|0|||
7621|999|0|||
7623|999|0|||
7624|999|0|||
7626|999|0|||
7627|999|0|||
7628|999|0|||
7629|999|0|||
7630|999|0|||
7631|999|0|||
7635|999|0|||
7636|999|0|||
7637|999|0|||
7676|25|13|||
7677|12|0|||
7678|30|17|||
7683|35|15|19||
7716|25|13|||
7753|15|0|||
7754|15|0|||
7755|15|0|||
7756|15|0|||
7757|15|0|||
7758|15|0|||
7759|25|0|||
7760|30|25|||
7761|15|6|||
7762|15|7|||
7767|999|0|||
7854|35|19|15||
7855|35|21|19||
7881|30|6|||
7883|30|11|||
7884|30|13|||
7918|15|13|||
7919|15|15|||
7920|15|14|||
7921|15|15|||
7922|15|15|||
7927|15|7|||
7928|15|14|||
7930|15|15|||
7931|15|6|||
7932|15|15|||
7939|999|0|||
7940|999|0|||
7944|15|9|||
7946|15|9|||
7947|20|2|||
7948|10|10|||
7949|4|0|||
7950|4|0|||
7951|4|0|||
8130|25|0|||
8182|20|20|||
8183|20|20|||
8184|20|20|||
8185|20|20|||
8186|20|20|||
8191|18|18|||
8192|18|18|||
8193|18|11|||
8194|18|18|||
8239|5|0|||
8240|5|0|||
8241|5|0|||
8242|5|0|||
8243|5|1|||
8253|5|0|||
8254|5|0|||
8255|5|0|||
8256|5|1|||
8257|5|0|||
8329|999|0|||
8370|36|35|||
8473|40|0|||
8474|30|0|||
8475|15|0|||
8476|15|0|||
8477|15|2|||
8481|15|0|||
8541|999|0|||
8600|999|0|||
8605|999|0|||
8609|5|0|||
8610|5|0|||
8611|5|0|||
8612|5|0|||
8613|5|0|||
8614|10|0|||
8615|5|0|||
8616|5|0|||
8617|5|0|||
8618|5|0|||
8619|5|0|||
8620|5|0|||
8621|5|0|||
8622|5|0|||
8623|5|0|||
8624|5|0|||
8625|5|0|||
8626|5|0|||
8627|5|0|||
8628|10|0|||
8629|5|0|||
8632|21|16|||
8633|25|13|||
8634|24|9|||
8635|19|5|||
8636|27|13|||
8649|20|14|||
8666|15|0|||
8682|15|2|||
8684|15|0|||
8685|15|0|||
8687|15|0|||
8688|15|0|||
8689|60|11|||
8691|15|0|||
8692|15|0|||
8694|15|0|||
8695|15|0|||
8697|15|1|||
8698|15|0|||
8699|15|0|||
8700|15|0|||
8701|15|3|||
8702|15|2|||
8704|15|0|||
8705|15|0|||
8706|15|0|||
8707|15|0|||
8708|15|0|||
8710|15|2|||
8712|15|0|||
8714|15|0|||
8715|15|0|||
8716|15|1|||
8718|15|0|||
8720|15|0|||
8721|15|4|||
8722|15|2|||
8724|15|2|||
8725|15|1|||
8727|15|0|||
8728|15|0|||
8730|15|1|||
8731|15|0|||
8732|15|1|||
8733|15|0|||
8734|15|0|||
8735|15|0|||
8736|15|1|||
8737|15|1|||
8738|15|0|||
8739|15|0|||
8740|15|0|||
8741|15|0|||
8742|15|4|||
8744|15|0|||
8745|15|0|||
8746|15|0|||
8747|15|2|||
8748|15|0|||
8749|15|0|||
8750|15|0|||
8751|15|1|||
8754|15|1|||
8755|15|1|||
8756|15|0|||
8757|15|0|||
8760|15|0|||
8761|15|1|||
8762|15|1|||
8764|15|3|||
8766|15|0|||
8767|15|4|||
8768|15|1|||
8769|15|0|||
8770|15|0|||
8771|15|0|||
8772|15|4|||
8773|15|0|||
8774|15|0|||
8776|15|0|||
8778|15|4|||
8779|15|0|||
8780|15|0|||
8781|15|0|||
8784|15|0|||
8786|15|0|||
8787|15|5|||
8788|25|3|||
8789|15|2|||
8790|25|4|||
8791|15|0|||
8792|15|1|||
8795|15|2|||
8796|15|1|||
8797|15|0|||
8798|5|0|||
8799|15|5|||
8800|15|0|||
8801|15|2|||
8802|15|0|||
8803|15|2|||
8804|15|0|||
8805|15|0|||
8813|5|0|||
8814|5|0|||
8815|5|1|||
8816|5|0|||
8817|5|0|||
8818|5|0|||
8820|5|0|||
8821|5|1|||
8822|5|0|||
8823|5|0|||
8824|5|0|||
8825|5|0|||
8826|10|8|||
8827|5|0|||
8828|10|0|||
8830|5|0|||
8831|5|0|||
8832|5|0|||
8833|5|1|||
8834|5|0|||
8835|5|0|||
8836|5|0|||
8837|5|0|||
8838|5|0|||
8839|5|0|||
8854|15|7|||
8855|20|6|||
8857|20|15|||
8858|21|12|||
8859|23|5|||
8861|20|12|||
8862|20|11|||
8864|15|8|||
8865|20|9|||
8866|15|10|||
8867|15|0|||
8869|15|0|||
8870|15|2|||
8875|20|15|||
8876|15|9|||
8877|17|14|||
8879|15|13|||
8880|15|4|||
8882|15|11|||
8883|15|3|||
8884|15|0|||
8885|15|4|||
8886|15|2|||
8887|15|0|||
8892|15|0|||
8893|15|4|||
8894|15|4|||
8899|15|7|||
8900|15|10|||
8900|15|10|||
8901|15|10|||
8902|15|7|||
8903|15|2|||
8904|15|10|||
8906|15|8|||
8907|15|1|||
8967|5|0|||
8968|5|0|||
8969|10|6|||
8970|15|0|||
8978|15|0|||
8980|15|0|||
8982|15|3|||
8986|15|1|||
8988|15|1|||
8995|15|1|||
8997|15|0|||
8999|15|0|||
9001|15|0|||
9003|15|1|||
9005|15|1|||
9007|15|0|||
9009|15|0|||
9024|15|0|||
9026|15|0|||
9028|15|3|||
9033|20|1|||
9035|15|0|||
9039|15|0|||
9041|15|0|||
9043|15|0|||
9045|15|0|||
9049|15|0|||
9051|15|0|||
9055|20|0|||
9061|15|1|||
9063|15|0|||
9065|17|1|||
9069|15|1|||
9070|15|0|||
9075|15|0|||
9077|15|0|||
9079|15|0|||
9081|15|0|||
9083|15|0|||
9086|15|0|||
9123|35|25|||
9203|15|0|||
9205|15|0|||
9207|15|0|||
9209|15|2|||
9211|15|0|||
9212|15|0|||
9216|15|0|||
9218|15|0|||
9218|15|0|||
9220|20|7|||
9222|15|5|||
9224|15|0|||
9226|15|0|||
9228|15|0|||
9230|15|0|||
9234|15|1|||
9236|15|0|||
9237|15|1|||
9238|15|1|||
9239|15|0|||
9240|15|0|||
9459|5|0|||
9461|5|0|||
9490|15|0|||
9491|15|0|||
9492|15|0|||
9497|5|0|||
9503|5|0|||
9505|5|0|||
9506|5|0|||
9510|15|0|||
9528|15|1|||
9532|15|0|||
9554|999|14|||
9569|999|0|||
9920|15|11|||
10064|5|0|||
10067|16|7|||
10068|999|0|||
10070|999|0|||
10072|30|0|||
10096|15|14|||
10098|15|0|||
10103|15|0|||
10104|15|1|||
10128|18|17|||
10379|5|0|||
10385|25|25|||
10385|25|25|||
10505|20|7|||
10522|999|0|||
10527|999|0|||
10528|999|0|||
10531|999|0|||
10532|999|0|||
10534|999|0|||
10701|5|2|||
10702|5|0|||
10703|5|0|||
10704|5|0|||
10705|5|1|||
10722|15|0|||
10724|15|0|||
10726|15|6|||
10728|15|0|||
10732|15|0|||
10733|15|0|||
10755|14|3|||
10761|12|5|||
11025|999|0|||
11115|999|0|||
11119|999|0|||
11331|999|0|||
11332|999|0|||
11406|22|3|||
11631|15|0|||
11632|15|0|||
11675|999|2|||
11689|999|0|||
11693|999|0|||
11706|999|0|||
11709|40|39|||
11768|10|10|||
11813|999|5|||
11940|40|37|||
11964|15|15|||
11965|15|0|||
11967|20|16|||
11968|20|20|||
11975|12|7|||
12232|3|0|||
12292|16|16|||
12399|20|12|||
12400|20|11|||
12464|15|15|||
12590|21|15|||
12592|15|0|||
12593|15|1|||
12594|15|0|||
12602|15|14|||
12604|20|20|||
12606|15|15|||
12607|15|14|||
12609|18|18|||
12610|18|15|||
12611|18|14|||
12648|999|1|||
12649|999|0|||
12656|999|0|||
12671|5|0|||
12672|5|0|||
12839|15|0|||
12840|15|0|||
12841|15|0|||
12842|15|0|||
12843|15|0|||
12844|15|0|||
12845|15|0|||
12846|15|0|||
12850|999|0|||
12912|35|34|||
12968|24|17|||
12968|24|17|||
12969|24|24|||
12969|24|24|||
12970|18|16|||
12970|18|16|||
12971|15|12|||
12971|15|12|||
12972|23|23|||
12972|23|23|||
12973|22|22|||
12973|22|22|||
12983|25|17|7||
13155|40|39|||
13166|20|17|||
13184|999|0|||
13202|30|2|||
13215|15|1|||
13315|30|7|||
13348|15|0|||
13350|5|0|||
13354|15|0|||
13513|18|18|||
13533|32|32|||
13579|999|0|||
13667|12|0|||
13669|8|0|||
13693|15|2|||
13694|15|1|||
13695|15|0|||
13696|15|2|||
13701|5|0|||
13705|999|0|||
13832|5|0|||
13833|5|0|||
13860|999|0|||
13945|999|0|||
14071|5|3|||
14072|5|1|||
14113|15|10|3||
14124|999|25|||
14166|999|0|||
14174|40|36|||
14175|20|18|||
14189|12|8|||
14205|15|9|||
14207|15|0|||
14210|15|2|||
14212|15|0|||
14214|15|7|||
14216|15|0|||
14221|15|0|||
14222|15|0|||
14223|15|0|||
14224|15|0|||
14225|15|0|||
14226|15|0|||
14227|15|14|||
14228|15|15|||
14229|15|15|||
14236|30|23|||
14237|30|30|||
14244|25|23|||
14247|5|0|||
14267|15|0|||
14286|15|15|||
14425|35|35|||
14443|85|34|||
14487|12|7|||
14487|12|7|||
14534|999|7|||
14560|999|0|||
14600|15|1|||
14602|20|3|||
14611|15|0|||
14613|5|0|||
14615|5|0|||
14616|5|0|||
14617|15|0|||
14618|15|0|||
14619|5|0|||
14620|5|0|||
14629|12|10|||
14649|999|4|||
14669|999|0|||
14675|36|32|||
14677|999|3|||
14684|999|0|||
14685|999|0|||
14688|999|0|||
14689|999|0|||
14726|40|38|||
14827|22|2|||
14859|999|0|||
14860|999|0|||
14861|999|0|||
14862|999|0|||
14863|999|0|||
14864|999|0|||
14866|999|0|||
14907|40|37|||
14907|40|37|||
14912|40|36|||
14912|40|36|||
14915|999|0|||
15050|12|0|||
15051|10|0|||
15089|22|22|||
15089|22|22|||
15102|20|12|||
15153|20|5|||
15237|999|1|||
15377|25|20|||
15387|15|0|||
15412|20|3|||
15417|16|15|||
15480|12|10|||
15480|12|10|||
15507|24|11|||
15507|24|11|||
15517|30|30|||
15632|999|0|||
15661|5|1|||
15662|5|1|||
15664|999|0|||
15665|999|0|||
15666|999|0|||
15667|999|0|||
15668|999|0|||
15669|999|0|||
15670|999|0|||
15671|999|0|||
15672|999|0|||
15674|999|0|||
15675|999|0|||
15676|999|0|||
15725|15|0|||
15727|15|0|||
15728|15|0|||
15729|15|0|||
15734|19|2|||
15751|5|0|||
15752|5|0|||
15771|999|0|||
15772|999|0|||
15773|999|0|||
15774|999|0|||
15775|999|0|||
15776|999|0|||
15777|999|0|||
15778|999|0|||
15779|999|0|||
15780|999|0|||
15781|999|0|||
15782|999|0|||
15783|999|0|||
15784|999|0|||
15785|999|0|||
15786|999|0|||
15787|999|0|||
15788|999|0|||
15789|999|0|||
15790|999|0|||
15791|999|0|||
15792|999|0|||
15793|999|0|||
15794|999|0|||
15795|999|0|||
15796|999|0|||
15798|999|0|||
15799|999|0|||
15918|30|28|||
15943|16|10|||
15943|16|10|||
15963|24|24|||
15967|24|23|||
15988|25|16|5||
16004|6|3|||
16028|15|15|||
16028|15|15|||
16038|25|20|0||
16038|25|20|0||
16054|28|28|||
16054|28|28|||
16055|28|27|||
16055|28|27|||
16061|5|0|||
16062|5|3|||
16066|14|14|||
16080|10|0|||
16081|10|0|||
16105|18|0|||
16111|999|0|||
16125|999|117|||
16125|999|117|||
16126|999|87|||
16126|999|87|||
16126|999|87|||
16126|999|87|||
16129|10|0|||
16132|15|9|||
16132|15|9|||
16134|15|0|||
16134|15|0|||
16135|999|0|||
16139|35|23|||
16140|13|12|||
16149|30|1|||
16152|999|0|||
16157|15|1|||
16158|15|0|||
16199|75|18|||
16205|5|0|||
16206|5|0|||
16207|5|0|||
16208|5|0|||
16209|5|0|||
16210|5|0|||
16213|5|0|||
16217|5|0|||
16218|5|0|||
16219|5|0|||
16220|5|0|||
16221|5|0|||
16222|5|0|||
16225|5|0|||
16234|5|0|||
16235|5|0|||
16236|5|0|||
16237|5|0|||
16238|5|0|||
16240|5|0|||
16241|5|0|||
16242|5|0|||
16243|5|0|||
16244|5|0|||
16245|5|0|||
16247|5|0|||
16252|5|0|||
16255|5|0|||
16260|5|0|||
16265|5|0|||
16266|5|0|||
16267|5|0|||
16269|5|0|||
16271|5|0|||
16272|5|0|||
16273|5|0|||
16275|5|0|||
16276|5|0|||
16282|5|0|||
16283|5|0|||
16284|5|0|||
16286|5|0|||
16287|5|0|||
16288|5|0|||
16290|5|0|||
16292|5|0|||
16293|5|0|||
16294|5|0|||
16296|5|0|||
16297|5|0|||
16303|5|0|||
16304|5|0|||
16305|5|0|||
16306|5|0|||
16307|5|0|||
16308|5|0|||
16309|5|0|||
16310|5|0|||
16311|5|0|||
16312|5|0|||
16313|5|0|||
16314|5|0|||
16315|5|0|||
16316|5|0|||
16317|5|0|||
16319|5|0|||
16320|5|0|||
16323|5|0|||
